Location,LocationID,FilterCategory,DataGroup,TimeFrame,DataFormat,Data,Unit
Burke,37023,Total,Investigated,2021,Number,1284,
Burke,37023,Total,Substantiated,2021,Number,201,
Burke,37023,Total,Investigated,2022,Number,1268,
Burke,37023,Total,Substantiated,2022,Number,241,
Burke,37023,Total,Investigated,2023,Number,1237,
Burke,37023,Total,Substantiated,2023,Number,139,
Cabarrus,37025,Total,Investigated,2018,"Rate per 1,000",38.8,"per 1,000 children"
Cabarrus,37025,Total,Substantiated,2018,"Rate per 1,000",5.4,"per 1,000 children"
Cabarrus,37025,Total,Investigated,2019,"Rate per 1,000",39.5,"per 1,000 children"
Cabarrus,37025,Total,Substantiated,2019,"Rate per 1,000",4.8,"per 1,000 children"
Cabarrus,37025,Total,Investigated,2020,"Rate per 1,000",40.5,"per 1,000 children"
Cabarrus,37025,Total,Substantiated,2020,"Rate per 1,000",4.6,"per 1,000 children"
Cabarrus,37025,Total,Investigated,2021,"Rate per 1,000",37.6,"per 1,000 children"
Cabarrus,37025,Total,Substantiated,2021,"Rate per 1,000",4.5,"per 1,000 children"
Cabarrus,37025,Total,Investigated,2022,"Rate per 1,000",39.6,"per 1,000 children"
Cabarrus,37025,Total,Substantiated,2022,"Rate per 1,000",4.1,"per 1,000 children"
Cabarrus,37025,Total,Investigated,2023,"Rate per 1,000",39.7,"per 1,000 children"
Cabarrus,37025,Total,Substantiated,2023,"Rate per 1,000",4.3,"per 1,000 children"
Cabarrus,37025,Total,Investigated,2018,Number,2262,
Cabarrus,37025,Total,Substantiated,2018,Number,314,
Cabarrus,37025,Total,Investigated,2019,Number,2337,
Cabarrus,37025,Total,Substantiated,2019,Number,281,
Cabarrus,37025,Total,Investigated,2020,Number,2431,
Cabarrus,37025,Total,Substantiated,2020,Number,279,
Cabarrus,37025,Total,Investigated,2021,Number,2377,
Cabarrus,37025,Total,Substantiated,2021,Number,285,
Cabarrus,37025,Total,Investigated,2022,Number,2522,
Cabarrus,37025,Total,Substantiated,2022,Number,261,
Cabarrus,37025,Total,Investigated,2023,Number,2544,
Cabarrus,37025,Total,Substantiated,2023,Number,273,
Caldwell,37027,Total,Investigated,2018,"Rate per 1,000",80,"per 1,000 children"
Caldwell,37027,Total,Substantiated,2018,"Rate per 1,000",11.6,"per 1,000 children"
Caldwell,37027,Total,Investigated,2019,"Rate per 1,000",56.2,"per 1,000 children"
Caldwell,37027,Total,Substantiated,2019,"Rate per 1,000",8.5,"per 1,000 children"
Caldwell,37027,Total,Investigated,2020,"Rate per 1,000",59.8,"per 1,000 children"
Caldwell,37027,Total,Substantiated,2020,"Rate per 1,000",7.5,"per 1,000 children"
Caldwell,37027,Total,Investigated,2021,"Rate per 1,000",60.8,"per 1,000 children"
Caldwell,37027,Total,Substantiated,2021,"Rate per 1,000",6.5,"per 1,000 children"
Caldwell,37027,Total,Investigated,2022,"Rate per 1,000",65.1,"per 1,000 children"
Caldwell,37027,Total,Substantiated,2022,"Rate per 1,000",6.4,"per 1,000 children"
Caldwell,37027,Total,Investigated,2023,"Rate per 1,000",61.8,"per 1,000 children"
Caldwell,37027,Total,Substantiated,2023,"Rate per 1,000",8.3,"per 1,000 children"
Caldwell,37027,Total,Investigated,2018,Number,1482,
Caldwell,37027,Total,Substantiated,2018,Number,214,
Caldwell,37027,Total,Investigated,2019,Number,1027,
Caldwell,37027,Total,Substantiated,2019,Number,156,
Caldwell,37027,Total,Investigated,2020,Number,1085,
Caldwell,37027,Total,Substantiated,2020,Number,136,
Caldwell,37027,Total,Investigated,2021,Number,1077,
Caldwell,37027,Total,Substantiated,2021,Number,116,
Caldwell,37027,Total,Investigated,2022,Number,1135,
Caldwell,37027,Total,Substantiated,2022,Number,111,
Caldwell,37027,Total,Investigated,2023,Number,1065,
Caldwell,37027,Total,Substantiated,2023,Number,143,
Camden,37029,Total,Investigated,2018,"Rate per 1,000",22,"per 1,000 children"
Camden,37029,Total,Substantiated,2018,"Rate per 1,000",3,"per 1,000 children"
Camden,37029,Total,Investigated,2019,"Rate per 1,000",24.1,"per 1,000 children"
Camden,37029,Total,Substantiated,2019,"Rate per 1,000",3.8,"per 1,000 children"
Camden,37029,Total,Investigated,2020,"Rate per 1,000",30.9,"per 1,000 children"
Camden,37029,Total,Substantiated,2020,"Rate per 1,000",1.1,"per 1,000 children"
Camden,37029,Total,Investigated,2021,"Rate per 1,000",26.4,"per 1,000 children"
Camden,37029,Total,Substantiated,2021,"Rate per 1,000",2.3,"per 1,000 children"
Camden,37029,Total,Investigated,2022,"Rate per 1,000",29.5,"per 1,000 children"
Camden,37029,Total,Substantiated,2022,"Rate per 1,000",3.3,"per 1,000 children"
Camden,37029,Total,Investigated,2023,"Rate per 1,000",38.7,"per 1,000 children"
Camden,37029,Total,Substantiated,2023,"Rate per 1,000",1.8,"per 1,000 children"
Camden,37029,Total,Investigated,2018,Number,59,
Camden,37029,Total,Substantiated,2018,Number,8,
Camden,37029,Total,Investigated,2019,Number,64,
Camden,37029,Total,Substantiated,2019,Number,10,
Camden,37029,Total,Investigated,2020,Number,83,
Camden,37029,Total,Substantiated,2020,Number,3,
Camden,37029,Total,Investigated,2021,Number,68,
Camden,37029,Total,Substantiated,2021,Number,6,
Camden,37029,Total,Investigated,2022,Number,80,
Camden,37029,Total,Substantiated,2022,Number,9,
Camden,37029,Total,Investigated,2023,Number,107,
Camden,37029,Total,Substantiated,2023,Number,5,
Carteret,37031,Total,Investigated,2018,"Rate per 1,000",55.4,"per 1,000 children"
Carteret,37031,Total,Substantiated,2018,"Rate per 1,000",14.2,"per 1,000 children"
Carteret,37031,Total,Investigated,2019,"Rate per 1,000",56.4,"per 1,000 children"
Carteret,37031,Total,Substantiated,2019,"Rate per 1,000",14.3,"per 1,000 children"
Carteret,37031,Total,Investigated,2020,"Rate per 1,000",49.7,"per 1,000 children"
Carteret,37031,Total,Substantiated,2020,"Rate per 1,000",11.6,"per 1,000 children"
Carteret,37031,Total,Investigated,2021,"Rate per 1,000",57.7,"per 1,000 children"
Carteret,37031,Total,Substantiated,2021,"Rate per 1,000",14.7,"per 1,000 children"
Carteret,37031,Total,Investigated,2022,"Rate per 1,000",54.2,"per 1,000 children"
Carteret,37031,Total,Substantiated,2022,"Rate per 1,000",15.8,"per 1,000 children"
